periodico_id,titulo_principal,titulo_abreviado,titulo_norm,issn_impresso,issn_eletronico,issn_l,issn_impresso_norm,issn_eletronico_norm,issn_l_norm,publisher_nome,publisher_norm,pais,area_tematica,plataforma_editorial,url_principal_atual,dominio_url_principal,fonte_url_principal,ativo_editorial_recente,ano_ultimo_registro_editorial,tem_doaj,tem_latindex,tem_titledb,observacao_match
PER_4E2FE08656416F95,Revista Cesumar: Ciências Humanas e Sociais Aplicadas,,revista cesumar: ciencias humanas e sociais aplicadas,1516-2664,2176-9176,,1516-2664,2176-9176,,Centro Universitário Cesumar,centro universitario cesumar,Brasil,,OJS3,https://periodicos.unicesumar.edu.br/,periodicos.unicesumar.edu.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=25; anos=1997-2022
PER_8A0146901E26508E,Revista em Agronegócio e Meio Ambiente,,revista em agronegocio e meio ambiente,1981-9951,2176-9168,,1981-9951,2176-9168,,Centro Universitário Cesumar,centro universitario cesumar,Brasil,,OJS3,https://periodicos.unicesumar.edu.br/,periodicos.unicesumar.edu.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=12; anos=2008-2022
PER_3926CD12483B7054,Revista Jurídica Cesumar: Mestrado,,revista juridica cesumar: mestrado,1677-6402,2176-9184,,1677-6402,2176-9184,,Centro Universitário Cesumar,centro universitario cesumar,Brasil,,OJS3,https://periodicos.unicesumar.edu.br/,periodicos.unicesumar.edu.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=22; anos=2001-2022
PER_A257C910030C9084,Saúde e Pesquisa,,saude e pesquisa,1983-1870,2176-9206,,1983-1870,2176-9206,,Centro Universitário Cesumar,centro universitario cesumar,Brasil,,OJS3,https://periodicos.unicesumar.edu.br/,periodicos.unicesumar.edu.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=15; anos=2008-2022
PER_18458B45EB30C917,Revista Gestão em Análise,,revista gestao em analise,1984-7297,2359-618X,,1984-7297,2359-618X,,Centro Universitário Christus,centro universitario christus,Brasil,,OJS3,https://periodicos.unichristus.edu.br/,periodicos.unichristus.edu.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=9; anos=2014-2022
PER_AC2D8D75A133666F,Revista Opinião Jurídica,,revista opiniao juridica,1806-0420,2447-6641,,1806-0420,2447-6641,,Centro Universitário Christus,centro universitario christus,Brasil,,OJS3,https://periodicos.unichristus.edu.br/,periodicos.unichristus.edu.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=19; anos=2004-2022
PER_F36DC7F55D62E03D,Revista Jurídica - UNICURITIBA,,revista juridica - unicuritiba,0103-3506,2316-753X,,0103-3506,2316-753X,,Centro Universitário Curitiba - UNICURITIBA,centro universitario curitiba - unicuritiba,Brasil,,OJS3,http://revista.unicuritiba.edu.br/,revista.unicuritiba.edu.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=14; anos=2007-2020
PER_0B617B5965773BDE,e-Scientia,,e-scientia,,1984-7688,,,1984-7688,,Centro Universitário de Belo Horizonte,centro universitario de belo horizonte,Brasil,,OJS3,https://revistas.unibh.br/,revistas.unibh.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=15; anos=2008-2022
PER_0FEE66763CFA80AE,e-Xacta,,e-xacta,,1984-3151,,,1984-3151,,Centro Universitário de Belo Horizonte,centro universitario de belo horizonte,Brasil,,OJS3,https://revistas.unibh.br/,revistas.unibh.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=12; anos=2008-2019
PER_B734341E59FFC850,e-Hum,,e-hum,,1984-767X,,,1984-767X,,Centro Universitário de Belo Horizonte,centro universitario de belo horizonte,Brasil,,OJS3,https://revistas.unibh.br/,revistas.unibh.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=14; anos=2008-2021
PER_2EEB3D6D66282665,e-Cevitas,,e-cevitas,,1984-2716,,,1984-2716,,Centro Universitário de Belo Horizonte,centro universitario de belo horizonte,Brasil,,OJS3,https://revistas.unibh.br/,revistas.unibh.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=15; anos=2008-2022
PER_E8BABF41713F4EE0,e-Tec,,e-tec,,1984-7696,,,1984-7696,,Centro Universitário de Belo Horizonte,centro universitario de belo horizonte,Brasil,,OJS3,https://revistas.unibh.br/,revistas.unibh.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=3; anos=2008-2010
PER_D9EE92836EDA0B90,e-Com,,e-com,,1983-0890,,,1983-0890,,Centro Universitário de Belo Horizonte,centro universitario de belo horizonte,Brasil,,OJS3,https://revistas.unibh.br/,revistas.unibh.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=16; anos=2007-2022
