url_check_id,periodico_id,source_system,url_original,url_original_domain,check_date,http_status,redirect_count,final_url,final_domain,domain_changed,https_valid,timeout,ojs_detected,ojs_version_hint,is_accessible,problem_type,notes,created_at
URL_AD5C031C524D8130,PER_1FA023172CC4D777,periodicos,https://revistas.marilia.unesp.br/,revistas.marilia.unesp.br,,200,0,https://revistas.marilia.unesp.br/,revistas.marilia.unesp.br,False,True,False,True,3.4.0,True,ok,,
URL_A5B1121FF908B05A,PER_4FA5D7FE1142E4A9,periodicos,https://ojs.franca.unesp.br/,ojs.franca.unesp.br,,200,0,https://ojs.franca.unesp.br/,ojs.franca.unesp.br,False,True,False,True,3.2.1,True,ok,,
URL_E2C88C4727A2DB37,PER_17476F096E1889DF,periodicos,https://ojs.franca.unesp.br/,ojs.franca.unesp.br,,200,0,https://ojs.franca.unesp.br/,ojs.franca.unesp.br,False,True,False,True,3.2.1,True,ok,,
URL_F6D2A3AEAD6E1FA1,PER_6A66C9E79981EA09,periodicos,https://revistas.marilia.unesp.br/,revistas.marilia.unesp.br,,200,0,https://revistas.marilia.unesp.br/,revistas.marilia.unesp.br,False,True,False,True,3.4.0,True,ok,,
URL_A053D8C7397C11EA,PER_1E7675B0BC330420,periodicos,https://www.periodicos.rc.biblioteca.unesp.br/,www.periodicos.rc.biblioteca.unesp.br,,200,0,https://www.periodicos.rc.biblioteca.unesp.br/,www.periodicos.rc.biblioteca.unesp.br,False,True,False,True,3.3.0,True,ok,,
URL_8F2DCC9991F830D6,PER_A79461EEDED71AF8,periodicos,https://www.periodicos.rc.biblioteca.unesp.br/,www.periodicos.rc.biblioteca.unesp.br,,200,0,https://www.periodicos.rc.biblioteca.unesp.br/,www.periodicos.rc.biblioteca.unesp.br,False,True,False,True,3.3.0,True,ok,,
URL_847B6D34F2F77B8D,PER_9BE823616596B26C,periodicos,https://www.periodicos.rc.biblioteca.unesp.br/,www.periodicos.rc.biblioteca.unesp.br,,200,0,https://www.periodicos.rc.biblioteca.unesp.br/,www.periodicos.rc.biblioteca.unesp.br,False,True,False,True,3.3.0,True,ok,,
URL_6921E770B26CEE0E,PER_8E95FD44CB01CD67,periodicos,https://revistas.marilia.unesp.br/,revistas.marilia.unesp.br,,200,0,https://revistas.marilia.unesp.br/,revistas.marilia.unesp.br,False,True,False,True,3.4.0,True,ok,,
URL_1F2510B85F1EDD8A,PER_379C1A1FC85A9B4B,periodicos,https://www.periodicos.rc.biblioteca.unesp.br/,www.periodicos.rc.biblioteca.unesp.br,,200,0,https://www.periodicos.rc.biblioteca.unesp.br/,www.periodicos.rc.biblioteca.unesp.br,False,True,False,True,3.3.0,True,ok,,
URL_9740CF5E15DD7833,PER_A8AB9E0E23EBB0D6,periodicos,https://www.cea-unesp.org.br/,www.cea-unesp.org.br,,200,1,https://www.cea-unesp.org.br/holos,www.cea-unesp.org.br,False,True,False,True,3.3.0,True,redirect,,
URL_5441B302516A2F53,PER_C090C88825789817,periodicos,https://revistas.marilia.unesp.br/,revistas.marilia.unesp.br,,200,0,https://revistas.marilia.unesp.br/,revistas.marilia.unesp.br,False,True,False,True,3.4.0,True,ok,,
URL_F80F76A076FA1EE8,PER_6C6776412ACAA437,periodicos,https://revistas.marilia.unesp.br/,revistas.marilia.unesp.br,,200,0,https://revistas.marilia.unesp.br/,revistas.marilia.unesp.br,False,True,False,True,3.4.0,True,ok,,
URL_4CD31541D2F9E3BC,PER_3CED101E26B2F194,periodicos,https://revistas.marilia.unesp.br/,revistas.marilia.unesp.br,,200,0,https://revistas.marilia.unesp.br/,revistas.marilia.unesp.br,False,True,False,True,3.4.0,True,ok,,
URL_3CD465B2E599121B,PER_AB2E5472658E0737,periodicos,https://ojs.franca.unesp.br/,ojs.franca.unesp.br,,200,0,https://ojs.franca.unesp.br/,ojs.franca.unesp.br,False,True,False,True,3.2.1,True,ok,,
URL_33E1EDB66205F186,PER_EDAFB1495A0A2259,periodicos,https://www.periodicos.rc.biblioteca.unesp.br/,www.periodicos.rc.biblioteca.unesp.br,,200,0,https://www.periodicos.rc.biblioteca.unesp.br/,www.periodicos.rc.biblioteca.unesp.br,False,True,False,True,3.3.0,True,ok,,
URL_CBC413DC7D725EB9,PER_2921D57B3E94F1FC,periodicos,https://www.periodicos.rc.biblioteca.unesp.br/,www.periodicos.rc.biblioteca.unesp.br,,200,0,https://www.periodicos.rc.biblioteca.unesp.br/,www.periodicos.rc.biblioteca.unesp.br,False,True,False,True,3.3.0,True,ok,,
URL_8729C4FB7DD2D051,PER_53BA5AB6ED5FA94A,periodicos,https://revistas.marilia.unesp.br/,revistas.marilia.unesp.br,,200,0,https://revistas.marilia.unesp.br/,revistas.marilia.unesp.br,False,True,False,True,3.4.0,True,ok,,
URL_D85A8E926A85A400,PER_D9AB0B2A6510C17A,periodicos,https://revistas.marilia.unesp.br/,revistas.marilia.unesp.br,,200,0,https://revistas.marilia.unesp.br/,revistas.marilia.unesp.br,False,True,False,True,3.4.0,True,ok,,
URL_F41D4326B086DAF1,PER_3D76F48EF39BD293,periodicos,https://ojs.franca.unesp.br/,ojs.franca.unesp.br,,200,0,https://ojs.franca.unesp.br/,ojs.franca.unesp.br,False,True,False,True,3.2.1,True,ok,,
URL_D152BC1418F984B1,PER_84C2E3B1F18614C9,periodicos,https://revistas.marilia.unesp.br/,revistas.marilia.unesp.br,,200,0,https://revistas.marilia.unesp.br/,revistas.marilia.unesp.br,False,True,False,True,3.4.0,True,ok,,
URL_C95D677B66F12E8A,PER_D5A0D4D215C69AFA,periodicos,https://revistas.marilia.unesp.br/,revistas.marilia.unesp.br,,200,0,https://revistas.marilia.unesp.br/,revistas.marilia.unesp.br,False,True,False,True,3.4.0,True,ok,,
